employee_id,fullname,nip,company_id,area_id,position_id,department_id,division_id,directorate_id,grade_id,education_id,major_id,years_of_service_months,rating,year_x,pauli,faxtor,disc,disc_word,mbti,iq,gtq,tiki,score,pillar_code,year_y
EMP100041,Lestari Maulana,135400,4,2,3,6,2,1,1,2,4,99,1,2021,53,32,IS,Influencer-Steadiness,ISTJ,86,25,7,1,GDR,2021
EMP100042,Oka Lukman,191210,3,3,6,2,4,2,1,4,3,28,1,2021,63,43,CD,Conscientious-Dominant,ENFP,139,25,1,1,GDR,2021
EMP100043,Nugroho Indrawan,123837,2,2,3,4,2,2,1,1,3,40,5,2021,41,97,SD,Steadiness-Dominant,ESFJ,109.5135135,,9,5,GDR,2021
EMP100044,Indra Maulida,742065,4,4,5,3,1,2,1,2,6,8,,2021,74,44,ID,Influencer-Dominant,ESFP,82,41,5,,GDR,2021
EMP100045,Dimas Mahendra,581488,2,3,2,3,4,1,3,1,5,38,2,2021,99,71,DS,Dominant-Steadiness,ISTJ,111,23,1,2,GDR,2021
EMP100046,Fitri Lestari,117913,3,4,1,4,3,1,2,2,6,64,3,2021,67,91,,Dominant-Conscientious,ISTJ,109.5135135,,6,3,GDR,2021
EMP100047,Hadi Pradana,161695,3,2,2,2,5,1,1,3,5,58,4,2021,61,55,ID,Influencer-Dominant,ISTJ,110,22,1,3,GDR,2021
EMP100048,Adit Halim,557326,3,4,4,5,4,3,1,4,6,50,3,2021,37,32,SI,Steadiness-Influencer,ESFJ,125,36,1,2,GDR,2021
EMP100049,Rizki Halim Siregar,453636,1,4,5,1,1,1,3,4,6,35,5,2021,94,30,DC,Dominant-Conscientious,INTP,133,27,5,5,GDR,2021
EMP100050,Joko Ridwan,411437,4,3,4,3,5,3,1,2,2,69,2,2021,81,54,DC,Dominant-Conscientious,,131,32,6,2,GDR,2021
EMP100051,Ari Mahardika Nugroho,286318,4,4,5,1,4,3,1,3,5,98,4,2021,94,61,CS,Conscientious-Steadiness,INFP,110,36,7,4,GDR,2021
EMP100052,Sari Yudhistira Mahendra,740192,1,4,4,2,1,2,3,3,3,23,,2021,69,55,IC,Influencer-Conscientious,ISTJ,126,36,10,,GDR,2021
EMP100053,Anisa Pamungkas,770602,1,3,1,3,3,1,3,3,5,52,5,2021,97,71,IS,Influencer-Steadiness,ISFJ,140,23,5,5,GDR,2021
EMP100054,Nugroho Maulida,239182,2,4,4,3,5,1,1,2,3,22,,2021,23,42,SI,Steadiness-Influencer,ISTJ,88,36,8,,GDR,2021
EMP100055,Putri Nugroho,153339,1,2,6,1,4,1,2,4,5,42,4,2021,50,80,DS,Dominant-Steadiness,INFJ,124,26,9,5,GDR,2021
EMP100056,Ayunda Ramadhan,401856,4,4,1,4,3,2,1,3,3,96,5,2021,44,20,CI,Conscientious-Influencer,INTJ,109.5135135,,5,5,GDR,2021
EMP100057,Nurlita Kusuma,285929,3,2,6,2,4,3,3,1,4,60,3,2021,39,27,IS,Influencer-Steadiness,ENTP,123,35,9,,GDR,2021
EMP100058,Adit Anugrah Halim,827158,3,3,2,4,1,2,3,2,4,66,3,2021,60,96,CS,Conscientious-Steadiness,INTJ,109.5135135,,8,4,GDR,2021
EMP100059,Fajar Dharma Subekti,404880,2,3,3,2,4,1,3,4,6,75,1,2021,64,77,SI,Steadiness-Influencer,,92,13,9,1,GDR,2021
EMP100060,Wulan Maulida,302930,1,4,3,4,1,3,2,2,2,44,4,2021,46,96,CS,Conscientious-Steadiness,ENTP,109.5135135,,7,3,GDR,2021
EMP100061,Oktavia Anugrah Setiawan,275683,4,3,6,4,1,1,3,1,5,46,,2021,92,22,IC,Influencer-Conscientious,ENTP,109.5135135,,6,2,GDR,2021
EMP100062,Valdo Jatmiko Mahendra,249908,3,3,4,6,3,2,2,3,2,40,4,2021,42,25,,Dominant-Influencer,ISTP,89,31,8,3,GDR,2021
EMP100063,Ayu Lestari Pradana,461165,2,1,1,4,2,1,1,3,5,42,5,2021,45,96,SC,Steadiness-Conscientious,ESFP,109.5135135,,8,5,GDR,2021
EMP100064,Kurnia Purnama,551120,1,2,6,5,4,3,3,1,6,38,4,2021,55,27,IS,Influencer-Steadiness,ESTP,96,26,4,4,GDR,2021
EMP100065,Rani Saputra,240200,1,4,1,1,4,2,2,1,4,24,4,2021,22,29,CS,Conscientious-Steadiness,ISFP,90,34,10,4,GDR,2021
EMP100066,Tania Lestari Setiawan,378824,1,4,3,1,2,1,1,1,1,65,3,2021,54,64,CD,Conscientious-Dominant,ENTJ,84,28,10,3,GDR,2021
EMP100067,Indra Zulfikar,696462,1,3,3,1,2,1,3,1,1,89,3,2021,40,38,SD,Steadiness-Dominant,INTJ,101,20,6,,GDR,2021
EMP100068,Nabila Qolbi Suharto,671201,4,1,3,2,5,2,1,4,1,68,2,2021,34,60,DI,Dominant-Influencer,INTP,109.5135135,16,5,2,GDR,2021
EMP100069,Anisa Permadi,252350,1,3,4,2,4,3,1,2,2,61,,2021,36,41,IC,Influencer-Conscientious,INFJ,93,36,10,2,GDR,2021
EMP100070,Kartika Rachman Ramadhan,855424,3,4,6,2,4,3,1,1,5,47,4,2021,74,38,DC,Dominant-Conscientious,ENFJ,137,36,2,4,GDR,2021
EMP100071,Rafa Situmorang,871247,2,3,4,3,4,3,1,2,4,72,3,2021,38,52,DC,Dominant-Conscientious,ENTP,107,35,7,3,GDR,2021
EMP100072,Nugroho Hartanto,161630,2,1,3,5,3,1,1,3,6,45,2,2021,92,40,CI,Conscientious-Influencer,INFP,87,32,4,1,GDR,2021
EMP100073,Dimas Halim Ananda,972245,2,3,3,3,5,1,3,3,1,85,2,2021,42,31,IC,Influencer-Conscientious,ESTJ,104,35,9,2,GDR,2021
EMP100074,Ari Utama Putra,100945,4,1,2,1,3,2,3,1,3,32,5,2021,52,76,CI,Conscientious-Influencer,INTJ,131,25,4,5,GDR,2021
EMP100075,Rizki Halim Zulfikar,290052,3,1,5,4,5,3,1,4,4,24,3,2021,31,78,ID,Influencer-Dominant,INTP,109.5135135,,2,3,GDR,2021
EMP100076,Rizki Wijaya,458782,1,3,6,5,4,2,1,3,1,4,,2021,90,52,IS,Influencer-Steadiness,ESFP,80,34,4,,GDR,2021
EMP100077,Novi Setiawan,115692,3,4,3,3,1,3,1,3,5,35,2,2021,79,57,CD,Conscientious-Dominant,ENFJ,135,32,1,2,GDR,2021
EMP100078,Indra Anggara,811320,1,1,6,3,1,3,3,4,1,39,5,2021,99,46,SI,Steadiness-Influencer,ISTP,84,19,8,5,GDR,2021
EMP100079,Novi Hasibuan,298849,4,4,3,3,4,1,1,1,5,67,3,2021,22,38,DS,Dominant-Steadiness,ISTJ,122,23,5,,GDR,2021
EMP100080,Andi Mahardika Handayani,274945,2,1,2,3,3,3,2,4,2,43,4,2021,55,29,DC,Dominant-Conscientious,ENFJ,87,36,8,4,GDR,2021
EMP100081,Ari Yulianto,447230,1,4,6,1,3,3,3,3,3,85,4,2021,49,31,CS,Conscientious-Steadiness,ENFP,138,23,7,4,GDR,2021
EMP100082,Budi Dharma Lukman,247239,3,4,1,3,2,3,3,4,1,63,3,2021,94,39,,Conscientious-Steadiness,INTP,133,27,6,4,GDR,2021
EMP100083,Rizka Erlangga Subekti,286153,1,3,6,6,1,3,2,4,1,19,,2021,50,81,CD,Conscientious-Dominant,ENTJ,99,30,2,,GDR,2021
EMP100084,Dian Rachman Handayani,735572,1,3,6,2,1,3,2,1,2,16,,2021,56,48,SD,Steadiness-Dominant,,118,36,5,,GDR,2021
EMP100085,Ahmad Rohman,540638,2,4,2,3,4,2,3,2,1,22,,2021,86,61,,Conscientious-Steadiness,ENTJ,109.5135135,26,8,,GDR,2021
EMP100086,Rani Syahputra,503804,3,3,4,6,5,1,3,3,3,23,,2021,79,76,IC,Influencer-Conscientious,ISTJ,110,36,3,,GDR,2021
EMP100087,Rizka Ananda,649357,2,1,1,6,2,2,3,3,3,12,,2021,36,63,DS,Dominant-Steadiness,ENFP,109,25,2,,GDR,2021
EMP100088,Nadia Saputra Mahendra,192144,2,4,3,2,4,1,1,3,6,38,4,2021,29,88,CS,Conscientious-Steadiness,ISFP,83,29,5,4,GDR,2021
EMP100089,Umar Simanjuntak,179520,1,2,5,4,3,3,3,2,4,56,3,2021,97,26,CD,Conscientious-Dominant,,109.5135135,,10,4,GDR,2021
EMP100090,Maya Pratomo,304860,2,4,6,5,4,2,2,2,5,27,4,2021,48,96,DS,Dominant-Steadiness,ESTJ,109.5135135,29,1,4,GDR,2021
EMP100091,Oka Candra Firmansyah,109937,4,1,3,3,1,1,2,3,1,10,,2021,36,83,DS,Dominant-Steadiness,ENFP,102,23,6,,GDR,2021
EMP100092,Ahmad Indrawan,810984,2,1,2,4,1,3,3,2,2,68,3,2021,43,51,IC,Influencer-Conscientious,ENTJ,109.5135135,,1,3,GDR,2021
EMP100093,Nadia Lestari Utami,218189,1,1,2,5,3,3,2,2,6,57,1,2021,71,31,CS,Conscientious-Steadiness,ENTP,93,24,3,1,GDR,2021
EMP100094,Nadia Utama Yulianto,838236,4,1,1,3,3,3,1,2,4,33,1,2021,24,50,SD,Steadiness-Dominant,INFJ,95,16,6,1,GDR,2021
EMP100095,Fitri Pamungkas,186709,2,4,3,4,5,2,2,3,5,41,2,2021,66,40,SC,Steadiness-Conscientious,ISFJ,109.5135135,,5,2,GDR,2021
EMP100096,Rama Dharma Wibowo,349891,4,3,2,6,2,1,2,3,4,77,3,2021,42,78,SI,Steadiness-Influencer,ENTJ,109.5135135,20,7,3,GDR,2021
EMP100097,Valdo Subekti,922054,1,1,6,2,1,3,1,2,3,64,0,2021,44,76,DC,Dominant-Conscientious,INFJ,109.5135135,32,2,2,GDR,2021
EMP100098,Indra Hidayat,843650,3,4,3,3,1,1,3,2,1,57,4,2021,37,32,ID,Influencer-Dominant,ENTJ,128,17,9,4,GDR,2021
EMP100099,Tania Suharto,635643,3,4,4,4,2,2,1,2,6,46,2,2021,52,80,SC,Steadiness-Conscientious,ESTJ,109.5135135,,7,2,GDR,2021
EMP100100,Intan Rachman Suharto,198295,4,4,1,4,1,1,2,1,2,55,4,2021,44,56,DC,Dominant-Conscientious,,109.5135135,,6,4,GDR,2021
EMP100101,Yoga Pratomo,264764,3,1,4,1,1,2,3,4,5,51,4,2021,35,97,IC,Influencer-Conscientious,ESTJ,81,26,2,5,GDR,2021
EMP100102,Dinda Permadi,342888,1,2,3,6,1,3,1,3,3,22,,2021,47,89,SI,Steadiness-Influencer,INTJ,111,19,5,,GDR,2021
EMP100103,Ayu Ginting,310700,4,1,2,3,1,3,2,1,1,32,4,2021,62,73,,Influencer-Steadiness,ESTJ,105,26,2,4,GDR,2021
EMP100104,Budi Pratama,642860,4,4,4,3,3,2,1,4,6,81,5,2021,80,37,DC,Dominant-Conscientious,ISTP,102,23,9,,GDR,2021
EMP100105,Maya Yulianto,653381,2,1,1,4,4,2,1,4,1,16,,2021,50,45,SC,Steadiness-Conscientious,ENFJ,109.5135135,,7,,GDR,2021
EMP100106,Valdo Wijaya Wijaya,335938,3,3,1,6,5,3,3,4,1,64,4,2021,72,49,CD,Conscientious-Dominant,ENFJ,102,29,4,4,GDR,2021
EMP100107,Dian Fauziah,273235,4,2,4,5,3,1,2,4,4,45,4,2021,28,59,CI,Conscientious-Influencer,ISFP,104,41,9,4,GDR,2021
EMP100108,Dinda Erlangga Handayani,455098,4,2,3,3,5,3,2,2,6,58,3,2021,73,70,DC,Dominant-Conscientious,ISTP,129,27,5,4,GDR,2021
EMP100109,Dinda Wibowo,127614,3,1,2,3,4,3,3,4,4,55,,2021,90,96,DC,Dominant-Conscientious,ESFP,91,16,4,4,GDR,2021
EMP100110,Citra Hartanto,528735,3,2,5,3,5,2,3,3,4,46,2,2021,36,63,SD,Steadiness-Dominant,INFP,97,37,5,2,GDR,2021
EMP100111,Rendra Herlambang,510681,2,2,3,6,4,1,3,3,5,44,3,2021,38,99,ID,Influencer-Dominant,ENFJ,83,22,8,3,GDR,2021
EMP100112,Adit Mahardika Pratama,874330,4,4,3,1,4,3,1,1,3,36,,2021,88,83,,Dominant-Conscientious,ENTP,132,25,7,5,GDR,2021
EMP100113,Iman Rachman Rahmawati,313238,1,4,1,6,3,1,2,1,5,55,4,2021,57,72,ID,Influencer-Dominant,INTJ,117,28,10,4,GDR,2021
EMP100114,Vania Fadillah Fauziah,475116,2,2,4,4,5,2,2,4,2,15,,2021,33,29,DI,Dominant-Influencer,INFJ,109.5135135,,7,,GDR,2021
EMP100115,Satya Yudhistira Lukman,804211,2,1,1,2,4,2,1,3,4,41,2,2021,21,62,IS,Influencer-Steadiness,ENFJ,90,23,7,1,GDR,2021
EMP100116,Bayu Ridwan,747077,2,2,6,4,3,2,3,2,5,50,1,2021,89,40,SI,Steadiness-Influencer,ISFP,109.5135135,,7,1,GDR,2021
EMP100117,Prasetyo Gunawan,362939,4,4,4,6,2,2,2,2,6,39,4,2021,40,98,,Dominant-Influencer,INFJ,86,25,5,4,GDR,2021
EMP100118,Julia Pramudita Hartanto,244488,4,4,4,2,5,3,3,2,4,53,4,2021,67,31,IC,Influencer-Conscientious,ISTJ,109.5135135,32,2,4,GDR,2021
EMP100119,Iman Ginting,562438,2,2,6,1,3,1,2,2,3,1,,2021,96,35,SI,Steadiness-Influencer,INTJ,102,29,1,6,GDR,2021
EMP100120,Iman Maulida,949849,4,2,2,1,2,1,2,1,3,52,4,2021,53,45,SC,Steadiness-Conscientious,,127,29,8,3,GDR,2021
EMP100121,Bayu Hidayat,174665,1,3,4,3,2,3,1,2,4,56,4,2021,95,85,,Steadiness-Dominant,INFJ,84,21,10,4,GDR,2021
EMP100122,Rizki Simanjuntak,580039,2,3,6,4,1,3,3,2,2,10,,2021,27,63,CS,Conscientious-Steadiness,ESTP,109.5135135,,2,,GDR,2021
EMP100123,Kurnia Jatmiko Permadi,557929,2,1,5,2,1,1,2,4,2,54,2,2021,40,42,CD,Conscientious-Dominant,ESTJ,107,27,8,1,GDR,2021
EMP100124,Maya Nabila Salsabila,614276,2,4,2,4,5,2,1,1,2,52,,2021,38,84,DC,Dominant-Conscientious,ESFP,109.5135135,,8,4,GDR,2021
EMP100125,Nabila Lestari Santoso,500320,2,4,5,1,3,2,3,1,1,45,4,2021,28,72,DC,Dominant-Conscientious,ENTP,109.5135135,30,6,,GDR,2021
EMP100126,Vania Siregar,549217,3,4,5,5,1,3,3,3,3,67,3,2021,86,53,DS,Dominant-Steadiness,ISFP,120,24,1,2,GDR,2021
EMP100127,Lestari Gunawan,809952,1,3,6,4,1,1,3,3,6,26,3,2021,20,65,CI,Conscientious-Influencer,,109.5135135,,1,3,GDR,2021
EMP100128,Ahmad Siregar,282135,1,1,4,6,4,2,2,2,3,58,1,2021,70,69,DC,Dominant-Conscientious,ESTP,117,38,3,1,GDR,2021
EMP100129,Dian Utama Kusuma,445242,4,4,2,1,1,1,2,3,2,17,,2021,64,40,CS,Conscientious-Steadiness,ENTP,109,28,3,,GDR,2021
EMP100130,Citra Rahmawati,328046,2,3,1,1,2,3,1,4,3,68,3,2021,39,80,CD,Conscientious-Dominant,INTP,84,24,9,4,GDR,2021
EMP100131,Ayunda Adi Hartanto,190746,1,1,4,5,4,1,3,3,3,58,3,2021,51,47,DS,Dominant-Steadiness,ESTP,102,24,2,3,GDR,2021
EMP100132,Maya Ramadhan,378744,1,2,2,5,4,2,3,2,6,46,1,2021,66,59,SI,Steadiness-Influencer,ISFP,118,33,8,1,GDR,2021
EMP100133,Rendra Handayani,851667,2,2,4,2,1,3,1,3,1,30,1,2021,44,89,CI,Conscientious-Influencer,ENTP,104,39,4,1,GDR,2021
EMP100134,Rifqi Wijaya,526403,4,2,5,3,5,2,1,1,5,61,2,2021,33,89,CS,Conscientious-Steadiness,INTJ,119,22,6,2,GDR,2021
EMP100135,Indra Wijaya Ridwan,738691,1,3,4,1,5,3,1,1,6,14,,2021,87,64,,Conscientious-Influencer,INFP,113,27,7,,GDR,2021
EMP100136,Maya Pradana,517117,3,2,2,2,2,1,1,1,6,76,,2021,45,53,ID,Influencer-Dominant,ESFJ,131,26,10,2,GDR,2021
EMP100137,Rizky Jatmiko Hasibuan,553122,1,2,1,5,4,2,1,1,1,124,,2021,73,32,DC,Dominant-Conscientious,ESFJ,125,16,10,,GDR,2021
EMP100138,Rani Zulfikar,432483,2,1,3,4,1,2,3,4,5,42,3,2021,29,27,IC,Influencer-Conscientious,ISFJ,109.5135135,,9,2,GDR,2021
EMP100139,Nadia Herlambang,982093,1,2,4,4,2,3,3,2,3,78,,2021,47,90,IC,Influencer-Conscientious,ENTP,109.5135135,,8,,GDR,2021
EMP100140,Yuni Siregar,998756,4,2,6,3,2,1,1,4,6,54,3,2021,92,73,DI,Dominant-Influencer,ISFP,109.5135135,33,1,3,GDR,2021
EMP100141,Fitri Utami,861763,4,3,6,2,1,3,3,3,1,67,3,2021,91,28,DC,Dominant-Conscientious,ENFJ,124,29,8,3,GDR,2021
EMP100142,Indra Putra,749034,1,3,4,4,1,3,1,1,5,64,3,2021,98,64,ID,Influencer-Dominant,ESTP,109.5135135,,1,3,GDR,2021
EMP100143,Nadia Pramudita Wibowo,895607,1,3,2,5,3,3,2,2,3,22,,2021,38,93,IS,Influencer-Steadiness,ESFP,122,21,3,,GDR,2021
EMP100144,Bella Nabila Purnama,423266,2,2,4,2,1,3,2,2,6,20,,2021,60,58,CI,Conscientious-Influencer,ENFP,109.5135135,23,8,,GDR,2021
EMP100145,Novi Purnama,148545,3,1,5,1,4,1,1,4,5,41,3,2021,51,100,SC,Steadiness-Conscientious,INFP,107,31,9,3,GDR,2021
EMP100146,Maya Wijaya,249743,2,4,5,5,1,2,1,1,5,35,3,2021,90,91,CS,Conscientious-Steadiness,INTP,120,21,9,3,GDR,2021
EMP100147,Hana Ridwan,335078,4,3,6,2,5,1,2,2,6,7,,2021,67,49,IS,Influencer-Steadiness,ESFJ,109.5135135,34,5,,GDR,2021
EMP100148,Galih Zulfikar Hasibuan,703594,2,1,1,5,4,1,1,4,2,100,3,2021,43,77,IS,Influencer-Steadiness,INTP,120,34,2,99,GDR,2021
EMP100149,Teguh Saputra Hasibuan,512914,4,2,4,5,2,3,1,4,3,60,3,2021,28,28,,Dominant-Conscientious,ESTJ,122,26,7,3,GDR,2021
EMP100150,Hadi Hasibuan,207057,3,3,1,5,1,1,3,3,6,69,3,2021,69,77,CS,Conscientious-Steadiness,ENFP,125,26,4,3,GDR,2021
EMP100151,Wahyu Permadi,332971,4,1,3,6,5,3,1,4,1,42,1,2021,35,65,DI,Dominant-Influencer,INTP,123,15,10,1,GDR,2021
EMP100152,Satya Siregar,645559,3,4,2,2,5,3,3,2,5,59,3,2021,33,67,IC,Influencer-Conscientious,,93,22,6,4,GDR,2021
EMP100153,Arif Herlambang,692402,4,1,3,2,3,3,1,3,6,66,3,2021,85,73,CI,Conscientious-Influencer,ENFJ,109.5135135,31,9,3,GDR,2021
EMP100154,Kurnia Maulida,876199,1,2,2,1,1,2,2,4,4,39,2,2021,86,42,ID,Influencer-Dominant,ESFP,117,26,10,2,GDR,2021
EMP100155,Citra Jatmiko Siregar,846042,1,3,3,4,3,3,1,4,2,74,3,2021,73,57,CD,Conscientious-Dominant,ENTP,109.5135135,,4,4,GDR,2021
EMP100156,Yoga Anugrah Lestari,302014,2,1,4,3,2,3,1,4,1,66,2,2021,51,58,SI,Steadiness-Influencer,ESFJ,80,29,7,2,GDR,2021
EMP100157,Maya Zulfikar Purnama,229728,2,1,1,2,2,2,3,1,2,15,,2021,34,50,IC,Influencer-Conscientious,ISTJ,118,24,4,,GDR,2021
EMP100158,Lestari Syahputra,659507,3,1,4,3,5,1,3,2,6,20,,2021,33,64,SD,Steadiness-Dominant,INTJ,137,23,6,,GDR,2021
EMP100159,Nabila Mahendra,773399,4,3,4,1,5,2,3,1,5,45,1,2021,94,74,CI,Conscientious-Influencer,INFJ,109.5135135,29,4,1,GDR,2021
EMP100160,Nugroho Rachman Salsabila,260531,4,1,1,6,1,2,2,4,4,83,4,2021,70,90,DC,Dominant-Conscientious,INTP,133,25,4,4,GDR,2021
EMP100161,Wulan Saputra Pratama,937812,4,2,6,3,5,3,1,2,4,78,1,2021,42,52,CD,Conscientious-Dominant,,113,20,3,1,GDR,2021
EMP100162,Eko Adi Permadi,635327,3,2,5,5,3,1,2,4,5,38,3,2021,43,93,DI,Dominant-Influencer,ENTP,138,22,2,4,GDR,2021
EMP100163,Oktavia Pramudita Sinaga,411227,2,4,2,6,2,3,1,3,2,74,4,2021,57,96,,Influencer-Conscientious,ESTP,137,28,10,4,GDR,2021
EMP100164,Wahyu Iqbal Pratomo,906701,4,4,2,3,5,2,1,2,5,81,4,2021,88,41,IS,Influencer-Steadiness,ENFJ,109.5135135,34,9,4,GDR,2021
