"employee_id","fullname","rating","iq_match","pauli_match","gtq_match","final_match_rate"
"EMP100050","Joko Ridwan","2","120.74","135.00","114.29","123.08"
"EMP100051","Ari Mahardika Nugroho","4","101.38","156.67","128.57","126.12"
"EMP100052","Sari Yudhistira Mahendra",,"116.13","115.00","128.57","119.52"
"EMP100053","Anisa Pamungkas","5","129.03","161.67","82.14","124.76"
"EMP100054","Nugroho Maulida",,"81.11","38.33","128.57","82.51"
"EMP100055","Putri Nugroho","4","114.29","83.33","92.86","98.57"
"EMP100056","Ayunda Ramadhan","5","100.93","73.33","0.00","62.37"
"EMP100057","Nurlita Kusuma","3","113.36","65.00","125.00","102.35"
"EMP100058","Adit Anugrah Halim","3","100.93","100.00","0.00","70.37"
"EMP100059","Fajar Dharma Subekti","1","84.79","106.67","46.43","79.85"
"EMP100060","Wulan Maulida","4","100.93","76.67","0.00","63.37"
"EMP100061","Oktavia Anugrah Setiawan",,"100.93","153.33","0.00","86.37"
"EMP100062","Valdo Jatmiko Mahendra","4","82.03","70.00","110.71","87.03"
"EMP100063","Ayu Lestari Pradana","5","100.93","75.00","0.00","62.87"
"EMP100064","Kurnia Purnama","4","88.48","91.67","92.86","90.75"
"EMP100065","Rani Saputra","4","82.95","36.67","121.43","80.61"
"EMP100066","Tania Lestari Setiawan","3","77.42","90.00","100.00","87.97"
"EMP100067","Indra Zulfikar","3","93.09","66.67","71.43","78.66"
"EMP100068","Nabila Qolbi Suharto","2","100.93","56.67","57.14","74.52"
"EMP100069","Anisa Permadi",,"85.71","60.00","128.57","90.86"
"EMP100070","Kartika Rachman Ramadhan","4","126.27","123.33","128.57","126.08"
"EMP100071","Rafa Situmorang","3","98.62","63.33","125.00","95.95"
"EMP100072","Nugroho Hartanto","2","80.18","153.33","114.29","112.36"
"EMP100073","Dimas Halim Ananda","2","95.85","70.00","125.00","96.84"
"EMP100074","Ari Utama Putra","5","120.74","86.67","89.29","101.08"
"EMP100075","Rizki Halim Zulfikar","3","100.93","51.67","0.00","55.87"
"EMP100076","Rizki Wijaya",,"73.73","150.00","121.43","110.92"
"EMP100077","Novi Setiawan","2","124.42","131.67","114.29","123.56"
"EMP100078","Indra Anggara","5","77.42","165.00","67.86","100.82"
"EMP100079","Novi Hasibuan","3","112.44","36.67","82.14","80.62"
"EMP100080","Andi Mahardika Handayani","4","80.18","91.67","128.57","98.15"
"EMP100081","Ari Yulianto","4","127.19","81.67","82.14","100.02"
"EMP100082","Budi Dharma Lukman","3","122.58","156.67","96.43","124.96"
"EMP100083","Rizka Erlangga Subekti",,"91.24","83.33","107.14","93.64"
"EMP100084","Dian Rachman Handayani",,"108.76","93.33","128.57","110.07"
"EMP100085","Ahmad Rohman",,"100.93","143.33","92.86","111.23"
"EMP100086","Rani Syahputra",,"101.38","131.67","128.57","118.62"
"EMP100087","Rizka Ananda",,"100.46","60.00","89.29","84.97"
"EMP100088","Nadia Saputra Mahendra","4","76.50","48.33","103.57","76.17"
"EMP100089","Umar Simanjuntak","3","100.93","161.67","0.00","88.87"
"EMP100090","Maya Pratomo","4","100.93","80.00","103.57","95.45"
"EMP100091","Oka Candra Firmansyah",,"94.01","60.00","82.14","80.25"
"EMP100092","Ahmad Indrawan","3","100.93","71.67","0.00","61.87"
"EMP100093","Nadia Lestari Utami","1","85.71","118.33","85.71","95.50"
"EMP100094","Nadia Utama Yulianto","1","87.56","40.00","57.14","64.17"
"EMP100095","Fitri Pamungkas","2","100.93","110.00","0.00","73.37"
"EMP100096","Rama Dharma Wibowo","3","100.93","70.00","71.43","82.80"
"EMP100097","Valdo Subekti","0","100.93","73.33","114.29","96.66"
"EMP100098","Indra Hidayat","4","117.97","61.67","60.71","83.90"
"EMP100099","Tania Suharto","2","100.93","86.67","0.00","66.37"
"EMP100100","Intan Rachman Suharto","4","100.93","73.33","0.00","62.37"
"EMP100101","Yoga Pratomo","4","74.65","58.33","92.86","75.22"
"EMP100102","Dinda Permadi",,"102.30","78.33","67.86","84.78"
"EMP100103","Ayu Ginting","4","96.77","103.33","92.86","97.57"
"EMP100104","Budi Pratama","5","94.01","133.33","82.14","102.25"
"EMP100105","Maya Yulianto",,"100.93","83.33","0.00","65.37"
"EMP100106","Valdo Wijaya Wijaya","4","94.01","120.00","103.57","104.68"
"EMP100107","Dian Fauziah","4","95.85","46.67","146.43","96.27"
"EMP100108","Dinda Erlangga Handayani","3","118.89","121.67","96.43","112.99"
"EMP100109","Dinda Wibowo",,"83.87","150.00","57.14","95.69"
"EMP100110","Citra Hartanto","2","89.40","60.00","132.14","93.40"
"EMP100111","Rendra Herlambang","3","76.50","63.33","78.57","73.17"
"EMP100112","Adit Mahardika Pratama",,"121.66","146.67","89.29","119.45"
"EMP100113","Iman Rachman Rahmawati","4","107.83","95.00","100.00","101.63"
"EMP100114","Vania Fadillah Fauziah",,"100.93","55.00","0.00","56.87"
"EMP100115","Satya Yudhistira Lukman","2","82.95","35.00","82.14","68.32"
"EMP100116","Bayu Ridwan","1","100.93","148.33","0.00","84.87"
"EMP100117","Prasetyo Gunawan","4","79.26","66.67","89.29","78.49"
"EMP100118","Julia Pramudita Hartanto","4","100.93","111.67","114.29","108.16"
"EMP100119","Iman Ginting",,"94.01","160.00","103.57","116.68"
"EMP100120","Iman Maulida","4","117.05","88.33","103.57","104.39"
"EMP100121","Bayu Hidayat","4","77.42","158.33","75.00","100.97"
"EMP100122","Rizki Simanjuntak",,"100.93","45.00","0.00","53.87"
"EMP100123","Kurnia Jatmiko Permadi","2","98.62","66.67","96.43","88.38"
"EMP100124","Maya Nabila Salsabila",,"100.93","63.33","0.00","59.37"
"EMP100125","Nabila Lestari Santoso","4","100.93","46.67","107.14","86.52"
"EMP100126","Vania Siregar","3","110.60","143.33","85.71","112.95"
"EMP100127","Lestari Gunawan","3","100.93","33.33","0.00","50.37"
"EMP100128","Ahmad Siregar","1","107.83","116.67","135.71","118.85"
"EMP100129","Dian Utama Kusuma",,"100.46","106.67","100.00","102.18"
"EMP100130","Citra Rahmawati","3","77.42","65.00","85.71","76.18"
"EMP100131","Ayunda Adi Hartanto","3","94.01","85.00","85.71","88.82"
"EMP100132","Maya Ramadhan","1","108.76","110.00","117.86","111.86"
"EMP100133","Rendra Handayani","1","95.85","73.33","139.29","102.13"
"EMP100134","Rifqi Wijaya","2","109.68","55.00","78.57","83.94"
"EMP100135","Indra Wijaya Ridwan",,"104.15","145.00","96.43","114.09"
"EMP100136","Maya Pradana",,"120.74","75.00","92.86","98.65"
"EMP100137","Rizky Jatmiko Hasibuan",,"115.21","121.67","57.14","99.73"
"EMP100138","Rani Zulfikar","3","100.93","48.33","0.00","54.87"
"EMP100139","Nadia Herlambang",,"100.93","78.33","0.00","63.87"
"EMP100140","Yuni Siregar","3","100.93","153.33","117.86","121.73"
"EMP100141","Fitri Utami","3","114.29","151.67","103.57","122.29"
"EMP100142","Indra Putra","3","100.93","163.33","0.00","89.37"
"EMP100143","Nadia Pramudita Wibowo",,"112.44","63.33","75.00","86.48"
"EMP100144","Bella Nabila Purnama",,"100.93","100.00","82.14","95.02"
"EMP100145","Novi Purnama","3","98.62","85.00","110.71","98.16"
"EMP100146","Maya Wijaya","3","110.60","150.00","75.00","111.74"
"EMP100147","Hana Ridwan",,"100.93","111.67","121.43","110.30"
"EMP100148","Galih Zulfikar Hasibuan","3","110.60","71.67","121.43","102.17"
"EMP100149","Teguh Saputra Hasibuan","3","112.44","46.67","92.86","86.83"
"EMP100150","Hadi Hasibuan","3","115.21","115.00","92.86","108.44"
"EMP100151","Wahyu Permadi","1","113.36","58.33","53.57","78.92"
"EMP100152","Satya Siregar","3","85.71","55.00","78.57","74.36"
"EMP100153","Arif Herlambang","3","100.93","141.67","110.71","116.09"
"EMP100154","Kurnia Maulida","2","107.83","143.33","92.86","113.99"
"EMP100155","Citra Jatmiko Siregar","3","100.93","121.67","0.00","76.87"
"EMP100156","Yoga Anugrah Lestari","2","73.73","85.00","103.57","86.06"
"EMP100157","Maya Zulfikar Purnama",,"108.76","56.67","85.71","86.22"
"EMP100158","Lestari Syahputra",,"126.27","55.00","82.14","91.65"
"EMP100159","Nabila Mahendra","1","100.93","156.67","103.57","118.45"
"EMP100160","Nugroho Rachman Salsabila","4","122.58","116.67","89.29","110.82"
"EMP100161","Wulan Saputra Pratama","1","104.15","70.00","71.43","84.09"
"EMP100162","Eko Adi Permadi","3","127.19","71.67","78.57","95.95"
"EMP100163","Oktavia Pramudita Sinaga","4","126.27","95.00","100.00","109.01"
"EMP100164","Wahyu Iqbal Pratomo","4","100.93","146.67","121.43","120.80"
"EMP100165","Kurnia Nugroho",,"113.36","80.00","103.57","100.42"
"EMP100166","Wahyu Yulianto","2","100.93","63.33","0.00","59.37"
"EMP100167","Eko Zulfikar","2","109.68","111.67","85.71","103.09"
"EMP100168","Wahyu Rachman Utami","3","105.07","55.00","121.43","94.96"
"EMP100169","Intan Permadi","4","93.09","150.00","71.43","103.66"
"EMP100170","Dinda Wijaya Zulfikar","4","100.93","91.67","0.00","67.87"
"EMP100171","Nadia Yulianto","3","125.35","151.67","78.57","119.21"
"EMP100172","Dinda Ridwan",,"105.99","128.33","78.57","104.47"
"EMP100173","Ahmad Wijaya","2","100.93","125.00","96.43","106.80"
"EMP100174","Ayunda Nabila Ramadhan","1","100.93","116.67","0.00","75.37"
"EMP100175","Budi Hasibuan","3","122.58","50.00","89.29","90.82"
"EMP100176","Fajar Firmansyah",,"123.50","90.00","135.71","117.12"
"EMP100177","Rama Mahardika Wijaya",,"79.26","95.00","100.00","90.21"
"EMP100178","Nurlita Siregar","3","97.70","121.67","96.43","104.51"
"EMP100179","Andi Santoso","4","100.93","95.00","0.00","68.87"
"EMP100180","Evi Kurniawan","2","93.09","161.67","150.00","130.74"
"EMP100181","Dewi Mahardika Salsabila","2","100.93","95.00","0.00","68.87"
"EMP100182","Joko Kusuma Maulana","4","100.93","45.00","0.00","53.87"
"EMP100183","Valdo Herlambang",,"100.93","48.33","0.00","54.87"
"EMP100184","Rizka Pamungkas","3","104.15","43.33","92.86","82.52"
"EMP100185","Yuni Anugrah Subekti","2","100.93","51.67","100.00","85.87"
"EMP100186","Rizki Halim","4","117.97","56.67","132.14","103.83"
"EMP100187","Ayu Tamba",,"81.11","120.00","82.14","93.09"
"EMP100188","Novi Pramudita Syahputra",,"84.79","150.00","92.86","106.77"
"EMP100189","Andi Ganesha Hartanto","3","118.89","36.67","89.29","85.34"
"EMP100190","Kartika Santoso","1","103.23","146.67","67.86","105.65"
"EMP100191","Cahyo Wijaya","2","127.19","75.00","64.29","92.66"
"EMP100192","Yoga Handayani","1","102.30","116.67","121.43","112.35"
"EMP100193","Kurnia Anugrah Kurniawan",,"123.50","43.33","107.14","94.54"
"EMP100194","Arif Hasibuan","3","100.46","96.67","121.43","105.61"
"EMP100195","Fitri Purnama","2","114.29","120.00","110.71","114.93"
"EMP100196","Kurnia Situmorang","2","100.93","163.33","0.00","89.37"
"EMP100197","Fitri Santoso",,"76.50","85.00","96.43","85.03"
"EMP100198","Citra Baskara Suharto","2","80.18","33.33","71.43","63.50"
"EMP100199","Valdo Zulfikar Halim",,"89.40","165.00","85.71","110.97"
"EMP100200","Lestari Pratomo","3","94.01","40.00","89.29","76.39"
"EMP100201","Gita Ganesha Santoso","2","93.09","65.00","110.71","89.95"
"EMP100202","Rizky Anugrah Suharto","3","102.30","106.67","75.00","95.42"
"EMP100203","Teguh Kusuma Siregar","2","84.79","120.00","103.57","100.99"
"EMP100204","Utami Candra Ginting","4","100.93","98.33","0.00","69.87"
"EMP100205","Vania Adi Nugroho",,"128.11","101.67","100.00","111.74"
"EMP100206","Sari Pratomo","2","105.99","40.00","117.86","89.75"
"EMP100207","Lestari Qolbi Setiawan","5","83.87","103.33","92.86","92.41"
"EMP100208","Hadi Tri Maulida","2","82.03","153.33","117.86","114.17"
"EMP100209","Nugroho Pamungkas","4","116.13","48.33","75.00","83.45"
"EMP100210","Zaki Jatmiko Sinaga","4","100.93","53.33","0.00","56.37"
"EMP100211","Dian Tri Pratomo","2","124.42","45.00","107.14","95.41"
"EMP100212","Galih Kurniawan",,"84.79","151.67","110.71","112.63"
"EMP100213","Rizky Permadi","1","86.64","68.33","114.29","89.44"
"EMP100214","Oktavia Subekti",,"100.93","71.67","0.00","61.87"
"EMP100215","Valdo Wijaya","3","96.77","106.67","71.43","92.14"
"EMP100216","Sari Ananda",,"102.30","141.67","89.29","110.21"
"EMP100217","Luthfi Purnama",,"100.93","110.00","114.29","107.66"
"EMP100218","Ayu Lukman","5","87.56","98.33","96.43","93.45"
"EMP100219","Julia Kusuma Santoso",,"97.70","115.00","139.29","115.36"
"EMP100220","Rizka Adi Setiawan","3","77.42","93.33","64.29","78.25"
"EMP100221","Dimas Qolbi Maulana",,"109.68","101.67","117.86","109.73"
"EMP100222","Luthfi Wijaya","3","81.11","50.00","100.00","77.44"
"EMP100223","Utami Mahardika Rohman",,"88.48","101.67","82.14","90.53"
"EMP100224","Rafa Maulida","3","105.07","131.67","78.57","105.10"
"EMP100225","Fajar Purnama",,"113.36","63.33","110.71","97.56"
"EMP100226","Nabila Simanjuntak",,"114.29","126.67","107.14","115.86"
"EMP100227","Wulan Suharto","5","94.01","65.00","85.71","82.82"
"EMP100228","Satya Candra Handayani","4","106.91","161.67","103.57","122.34"
"EMP100229","Rizki Putra",,"94.93","115.00","42.86","85.33"
"EMP100230","Eko Indrawan","3","82.95","50.00","64.29","67.47"
"EMP100231","Satya Halim Hidayat",,"128.11","100.00","82.14","105.89"
"EMP100232","Zaki Ridwan","3","100.93","98.33","0.00","69.87"
"EMP100233","Utami Iqbal Gunawan","4","115.21","135.00","110.71","119.80"
"EMP100234","Galih Jatmiko Maulana",,"107.83","126.67","110.71","114.35"
"EMP100235","Bayu Maulida","2","81.11","40.00","85.71","70.16"
"EMP100236","Teguh Santoso",,"106.91","96.67","110.71","104.98"
"EMP100237","Sari Halim Siregar",,"129.03","90.00","121.43","115.04"
"EMP100238","Dewi Siregar","2","100.93","105.00","0.00","71.87"
"EMP100239","Dimas Sinaga",,"100.93","78.33","0.00","63.87"
"EMP100240","Oktavia Hartanto",,"77.42","43.33","100.00","73.97"
"EMP100241","Sari Saputra Lukman","3","100.93","163.33","0.00","89.37"
"EMP100242","Rifqi Pamungkas","5","85.71","76.67","85.71","83.00"
"EMP100243","Sari Yudhistira Setiawan","3","106.91","50.00","121.43","94.19"
"EMP100244","Zaki Suharto","4","117.97","140.00","128.57","127.76"
"EMP100245","Budi Kurniawan","4","100.93","105.00","0.00","71.87"
"EMP100246","Rizky Subekti","3","75.58","63.33","85.71","74.94"
"EMP100247","Hadi Ganesha Wijaya","3","78.34","136.67","75.00","94.84"
"EMP100248","Ahmad Erlangga Siregar",,"94.01","90.00","121.43","101.03"
"EMP100249","Evi Ridwan","3","79.26","60.00","103.57","80.78"
"EMP100250","Arif Mahardika Kusuma","4","82.03","55.00","100.00","79.31"
"EMP100251","Vania Halim Santoso","0","111.52","106.67","89.29","103.39"
"EMP100252","Wulan Adi Mahendra","4","96.77","58.33","89.29","83.00"
"EMP100253","Putri Kusuma","4","83.87","80.00","82.14","82.19"
"EMP100254","Wulan Salsabila","3","77.42","165.00","46.43","94.40"
"EMP100255","Cahyo Anggara","4","111.52","160.00","89.29","119.39"
"EMP100256","Maya Dharma Pamungkas","4","73.73","98.33","135.71","99.71"
"EMP100257","Zahra Aji Zulfikar","4","100.93","90.00","0.00","67.37"
"EMP100258","Fitri Adi Maulana",,"111.52","123.33","103.57","112.68"
"EMP100259","Gita Ridwan","4","81.11","161.67","121.43","117.37"
"EMP100260","Ahmad Pramudita Siregar","3","80.18","70.00","50.00","68.07"
"EMP100261","Valdo Gunawan",,"127.19","71.67","64.29","91.66"
"EMP100262","Iman Baskara Saputra","2","125.35","156.67","67.86","117.50"
"EMP100263","Maya Handayani","4","113.36","121.67","85.71","107.56"
"EMP100264","Citra Utami","4","83.87","63.33","67.86","72.91"
"EMP100265","Citra Yulianto","3","83.87","128.33","103.57","103.12"
"EMP100266","Prasetyo Firmansyah","0","90.32","43.33","117.86","84.49"
"EMP100267","Nurlita Saputra Sinaga","3","100.93","115.00","0.00","74.87"
"EMP100268","Nadia Tri Fauziah","3","86.64","163.33","117.86","119.01"
"EMP100269","Zahra Pramudita Kusuma","4","77.42","43.33","89.29","70.75"
"EMP100270","Rani Aji Setiawan","3","78.34","163.33","78.57","103.91"
"EMP100271","Rani Nugroho","4","84.79","91.67","75.00","83.92"
"EMP100272","Yoga Qolbi Herlambang","2","100.93","118.33","85.71","101.59"
"EMP100273","Rani Wibowo",,"100.93","36.67","0.00","51.37"
"EMP100274","Nabila Anugrah Gunawan","2","86.64","163.33","142.86","126.51"
"EMP100275","Evi Maulana","2","115.21","158.33","92.86","121.44"
"EMP100276","Maya Fauziah","4","100.93","111.67","0.00","73.87"
"EMP100277","Nadia Handayani","4","109.68","81.67","128.57","106.94"
"EMP100278","Tania Qolbi Lukman","3","100.93","140.00","100.00","112.37"
"EMP100279","Julia Wibowo","3","97.70","121.67","107.14","107.72"
"EMP100280","Yuni Nabila Handayani","1","109.68","43.33","46.43","70.80"
"EMP100281","Bella Qolbi Ridwan","3","85.71","71.67","96.43","84.71"
"EMP100282","Indra Siregar","4","116.13","151.67","132.14","131.59"
"EMP100283","Wahyu Anggara","2","128.11","53.33","117.86","102.60"
"EMP100284","Julia Maulana","4","90.32","76.67","78.57","82.70"
"EMP100285","Adi Mahardika Setiawan",,"129.03","48.33","96.43","95.04"
"EMP100286","Hana Wijaya Anggara","2","88.48","160.00","89.29","110.18"
"EMP100287","Bella Mahendra",,"95.85","150.00","132.14","122.98"
"EMP100288","Budi Rachman Ramadhan","3","75.58","48.33","75.00","67.23"
"EMP100289","Teguh Hasibuan",,"81.11","161.67","89.29","107.73"
"EMP100290","Ahmad Mahardika Firmansyah",,"78.34","130.00","114.29","104.62"
"EMP100291","Cahyo Pratomo",,"113.36","65.00","92.86","92.70"
"EMP100292","Wahyu Halim Zulfikar",,"84.79","138.33","89.29","102.20"
"EMP100293","Sari Fadillah Mahendra","3","75.58","135.00","96.43","99.66"
"EMP100294","Fitri Dharma Hidayat",,"114.29","153.33","89.29","118.50"
"EMP100295","Hadi Dharma Siregar","3","94.01","140.00","107.14","111.75"
"EMP100296","Bayu Nugroho","4","77.42","153.33","85.71","102.68"
"EMP100297","Yoga Salsabila","3","124.42","45.00","103.57","94.34"
"EMP100298","Yuni Iqbal Saputra","5","74.65","165.00","103.57","110.43"
"EMP100299","Fajar Rachman Ridwan",,"115.21","66.67","82.14","90.73"
"EMP100300","Rama Lukman","4","116.13","165.00","110.71","129.17"
"EMP100301","Rama Zulfikar","2","113.36","60.00","82.14","87.99"
"EMP100302","Rizky Ginting",,"119.82","93.33","92.86","103.78"
"EMP100303","Bayu Wijaya Maulida","2","86.64","73.33","82.14","81.30"
"EMP100304","Valdo Halim",,"100.93","103.33","0.00","71.37"
"EMP100305","Indra Herlambang","4","104.15","98.33","89.29","97.94"
"EMP100306","Dinda Kusuma Ananda","4","100.93","36.67","139.29","93.16"
"EMP100307","Sari Indrawan","2","100.93","66.67","0.00","60.37"
"EMP100308","Nugroho Subekti","4","96.77","163.33","85.71","113.42"
"EMP100309","Valdo Ridwan","3","110.60","151.67","100.00","119.74"
"EMP100310","Rendra Pradana","3","83.87","35.00","110.71","77.26"
"EMP100311","Maya Pramudita Zulfikar","4","94.01","118.33","82.14","97.75"
"EMP100312","Maya Lestari",,"100.93","88.33","0.00","66.87"
"EMP100313","Budi Qolbi Hidayat","4","96.77","141.67","107.14","113.35"
"EMP100314","Yuni Herlambang",,"106.91","110.00","78.57","99.34"
"EMP100315","Rama Kusuma","2","91.24","128.33","100.00","105.00"
"EMP100316","Joko Siregar","2","75.58","105.00","100.00","91.73"
"EMP100317","Budi Herlambang","1","87.56","71.67","125.00","94.02"
"EMP100318","Rafa Lestari Fauziah","2","100.93","96.67","0.00","69.37"
"EMP100319","Valdo Anugrah Ramadhan","4","128.11","100.00","114.29","115.53"
"EMP100320","Budi Hartanto","2","91.24","76.67","78.57","83.07"
"EMP100321","Wulan Iqbal Herlambang","4","125.35","133.33","110.71","123.35"
"EMP100322","Rizka Pramudita Suharto","4","78.34","138.33","89.29","99.62"
"EMP100323","Umar Indrawan",,"84.79","108.33","114.29","100.70"
"EMP100324","Intan Halim","4","99.54","78.33","100.00","93.32"
"EMP100325","Wahyu Kusuma Hartanto","2","100.93","96.67","125.00","106.87"
"EMP100326","Rizka Qolbi Mahendra","5","84.79","63.33","128.57","91.49"
"EMP100327","Vania Rachman Utami","3","112.44","80.00","117.86","104.33"
"EMP100328","Tania Yudhistira Simanjuntak","4","119.82","133.33","135.71","128.64"
"EMP100329","Galih Iqbal Pamungkas","2","84.79","155.00","67.86","100.77"
"EMP100330","Kartika Gunawan","4","100.93","155.00","128.57","125.45"
"EMP100331","Julia Tri Hartanto",,"117.05","123.33","100.00","113.82"
"EMP100332","Dewi Maulida","4","87.56","95.00","89.29","90.31"
"EMP100333","Mahendra Putra",,"84.79","106.67","85.71","91.63"
"EMP100334","Sari Maulana","3","100.93","40.00","0.00","52.37"
"EMP100335","Mahendra Pramudita Purnama","5","109.68","141.67","132.14","126.01"
"EMP100336","Evi Pratomo","3","107.83","76.67","107.14","98.28"
"EMP100337","Anisa Situmorang","3","78.34","88.33","78.57","81.41"
"EMP100338","Galih Halim","3","100.93","165.00","0.00","89.87"
"EMP100339","Rafa Pramudita Purnama","1","74.65","111.67","96.43","92.29"
"EMP100340","Rifqi Ginting","3","100.93","156.67","0.00","87.37"
"EMP100341","Lestari Handayani","3","125.35","105.00","78.57","105.21"
"EMP100342","Luthfi Utama Pradana","1","81.11","120.00","117.86","103.80"
"EMP100343","Adit Tamba","2","100.93","36.67","100.00","81.37"
"EMP100344","Iman Wijaya Ginting","3","100.93","115.00","0.00","74.87"
"EMP100345","Arif Jatmiko Wibowo",,"128.11","38.33","92.86","90.60"
"EMP100346","Ari Ridwan","2","86.64","155.00","82.14","105.80"
"EMP100347","Rizky Nabila Fauziah","3","100.93","90.00","0.00","67.37"
"EMP100348","Indra Ananda",,"87.56","40.00","92.86","74.88"
"EMP100349","Dwi Ridwan","5","100.93","70.00","0.00","61.37"
"EMP100350","Galih Ganesha Fauziah","5","100.93","70.00","0.00","61.37"
"EMP100351","Cahyo Jatmiko Wibowo","2","128.11","80.00","110.71","108.46"
"EMP100352","Gita Wijaya Lestari","2","78.34","155.00","103.57","108.91"
"EMP100353","Wahyu Kusuma","2","82.03","48.33","146.43","91.24"
"EMP100354","Wahyu Setiawan",,"100.93","81.67","0.00","64.87"
"EMP100355","Dimas Erlangga Yulianto","4","94.93","113.33","92.86","99.83"
"EMP100356","Adi Baskara Subekti",,"100.93","63.33","0.00","59.37"
"EMP100357","Adit Siregar","2","109.68","101.67","107.14","106.51"
"EMP100358","Rizki Handayani","3","117.05","48.33","89.29","88.11"
"EMP100359","Vania Baskara Pratama","3","83.87","78.33","78.57","80.62"
"EMP100360","Rizka Rachman Wijaya",,"101.38","151.67","92.86","113.91"
"EMP100361","Eko Baskara Ananda","3","76.50","53.33","121.43","83.03"
"EMP100362","Adit Ginting","4","100.93","166.67","103.57","121.45"
"EMP100363","Zahra Salsabila","3","117.97","86.67","96.43","102.12"
"EMP100364","Utami Kusuma","3","89.40","98.33","110.71","98.47"
"EMP100365","Maya Syahputra",,"102.30","55.00","96.43","86.35"
"EMP100366","Zaki Qolbi Tamba","3","85.71","38.33","78.57","69.36"
"EMP100367","Utami Utama Maulana","4","109.68","133.33","96.43","112.80"
"EMP100368","Dewi Indrawan","5","109.68","121.67","75.00","102.87"
"EMP100369","Wahyu Halim","3","97.70","61.67","92.86","85.44"
"EMP100370","Bayu Tamba","4","76.50","63.33","89.29","76.38"
"EMP100371","Ahmad Yudhistira Pratama","3","126.27","40.00","53.57","78.58"
